x,y,d
-2,-2,-2
-1.99,-1.99,-1.985
-1.98,-1.98,-1.97
-1.97,-1.97,-1.955
-1.96,-1.96,-1.94
-1.95,-1.95,-1.925
-1.94,-1.94,-1.91
-1.93,-1.93,-1.895
-1.92,-1.92,-1.88
-1.91,-1.91,-1.865
-1.9,-1.9,-1.85
-1.89,-1.89,-1.835
-1.88,-1.88,-1.82
-1.87,-1.87,-1.805
-1.86,-1.86,-1.79
-1.85,-1.85,-1.775
-1.84,-1.84,-1.76
-1.83,-1.83,-1.745
-1.82,-1.82,-1.73
-1.81,-1.81,-1.715
-1.8,-1.8,-1.7
-1.79,-1.79,-1.685
-1.78,-1.78,-1.67
-1.77,-1.77,-1.655
-1.76,-1.76,-1.64
-1.75,-1.75,-1.625
-1.74,-1.74,-1.61
-1.73,-1.73,-1.595
-1.72,-1.72,-1.58
-1.71,-1.71,-1.565
-1.7,-1.7,-1.55
-1.69,-1.69,-1.535
-1.68,-1.68,-1.52
-1.67,-1.67,-1.505
-1.66,-1.66,-1.49
-1.65,-1.65,-1.475
-1.64,-1.64,-1.46
-1.63,-1.63,-1.445
-1.62,-1.62,-1.43
-1.61,-1.61,-1.415
-1.6,-1.6,-1.4
-1.59,-1.59,-1.385
-1.58,-1.58,-1.37
-1.57,-1.57,-1.355
-1.56,-1.56,-1.34
-1.55,-1.55,-1.325
-1.54,-1.54,-1.31
-1.53,-1.53,-1.295
-1.52,-1.52,-1.28
-1.51,-1.51,-1.265
-1.5,-1.5,-1.25
-1.49,-1.49,-1.235
-1.48,-1.48,-1.22
-1.47,-1.47,-1.205
-1.46,-1.46,-1.19
-1.45,-1.45,-1.175
-1.44,-1.44,-1.16
-1.43,-1.43,-1.145
-1.42,-1.42,-1.13
-1.41,-1.41,-1.115
-1.4,-1.4,-1.1
-1.39,-1.39,-1.085
-1.38,-1.38,-1.07
-1.37,-1.37,-1.055
-1.36,-1.36,-1.04
-1.35,-1.35,-1.025
-1.34,-1.34,-1.01
-1.33,-1.33,-0.995
-1.32,-1.32,-0.98
-1.31,-1.31,-0.965
-1.3,-1.3,-0.95
-1.29,-1.29,-0.935
-1.28,-1.28,-0.92
-1.27,-1.27,-0.905
-1.26,-1.26,-0.89
-1.25,-1.25,-0.875
-1.24,-1.24,-0.86
-1.23,-1.23,-0.845
-1.22,-1.22,-0.83
-1.21,-1.21,-0.815
-1.2,-1.2,-0.8
-1.19,-1.19,-0.785
-1.18,-1.18,-0.77
-1.17,-1.17,-0.755
